a,6.516%
b,1.886%
c,2.732%
d,5.076%
e,17.396%
f,1.656%
g,3.009%
h,4.757%
i,7.55%
j,0.268%
k,1.417%
l,3.437%
m,2.534%
n,9.776%
o,2.594%
p,0.67%
q,0.018%
r,7.003%
s,7.273%
t,6.154%
u,4.346%
v,0.846%
w,1.921%
x,0.034%
y,0.039%
z,1.134%
ä,0.447%
ö,0.573%
ß,0.307%
ü,0.995%
