a,12.217%
b,0.281%
c,0.281%
d,1.043%
e,7.968%
f,0.194%
g,0.392%
h,1.851%
i,10.817%
j,2.042%
k,4.973%
l,5.761%
m,3.202%
n,8.826%
o,5.614%
p,1.842%
q,0.013%
r,2.872%
s,7.862%
t,8.75%
u,5.008%
v,2.25%
w,0.094%
x,0.031%
y,1.745%
z,0.051%
å,0.003%
ä,3.577%
ö,0.444%
